id,type,title,description,category,tags,thumbnail_url,download_url,external_url,content,is_active,created_at,slug,file_size,page_count,word_count,format,source_url,preview_image_url,sort_order
dc4a0cbd-ae92-4a78-ad82-3956b40ee099,ebook,Print on Demand Profits,How to build a POD empire with zero inventory.,master_library,"{pod,ecommerce,print}",https://entrepedia-products.com/app/book-cover-templates/Cover-7.jpeg,,,"{""level"": ""beginner"", ""pages"": 110, ""format"": ""PDF""}",f,2026-03-05 16:54:45.818965+00,print-on-demand-profits,,,,,,,0
03843a9b-9108-4301-b832-637751f23371,course,Canva for Digital Products,Design stunning digital products using Canva — no design skills needed.,master_library,"{canva,design,tools}",https://entrepedia-products.com/app/book-cover-templates/Cover-8.jpeg,,,"{""level"": ""beginner"", ""lessons"": 8, ""duration"": ""3 hours""}",f,2026-03-05 16:54:45.818965+00,canva-for-digital-products,,,,,,,0
dadfa3d3-5e13-444e-b9eb-5a3d628c9aa4,course,Digital Product Foundations,Learn the fundamentals of creating and selling digital products online.,university,"{foundation,beginner}",https://entrepedia-products.com/app/book-cover-templates/Cover-10.jpeg,,,"{""level"": ""beginner"", ""lessons"": 15, ""modules"": [""Introduction"", ""Market Research"", ""Product Creation"", ""Pricing"", ""Launch""], ""duration"": ""6 hours""}",f,2026-03-05 16:54:45.818965+00,digital-product-foundations,,,,,,,0
afadea5c-2ce6-4f9c-9d5e-76af003b6dc5,tool,AI Product Description Generator,Generate compelling product descriptions with AI.,tools,"{ai,descriptions,copy}",https://entrepedia-products.com/app/book-cover-templates/Cover-60.jpeg,,,"{""toolKey"": ""product_descriptions"", ""inputFields"": [""productName"", ""features"", ""targetAudience"", ""tone""]}",t,2026-03-05 16:54:45.818965+00,ai-product-description-generator,,,,,,,0
0268d360-fe88-4f5f-b221-75ba5896731f,ebook,SEO for Digital Products,Drive organic traffic to your digital product listings.,master_library,"{seo,traffic,organic,Marketing}",https://entrepedia-products.com/app/book-cover-templates/Cover-5.jpeg,,,"{""level"": ""intermediate"", ""pages"": 78, ""format"": ""PDF""}",f,2026-03-05 16:54:45.818965+00,seo-for-digital-products,,,,,,,0
16221e60-3dd2-4dd4-af49-1ac612c6e076,course,Advanced Sales Funnels,Build high-converting sales funnels for your digital products.,university,"{funnels,advanced,sales}",https://entrepedia-products.com/app/book-cover-templates/Cover-11.jpeg,,,"{""level"": ""advanced"", ""lessons"": 20, ""modules"": [""Funnel Psychology"", ""Landing Pages"", ""Upsells"", ""Automation""], ""duration"": ""8 hours""}",f,2026-03-05 16:54:45.818965+00,advanced-sales-funnels,,,,,,,0
94bf86a3-30b2-425e-8d8b-1302283032b2,template,Social Media Content Calendar,Ready-to-use 90-day content planning template for all platforms.,master_library,"{""social media"",template,planning}",https://entrepedia-products.com/app/book-cover-templates/Cover-3.jpeg,,,"{""format"": ""XLSX"", ""platforms"": [""Instagram"", ""TikTok"", ""YouTube""]}",f,2026-03-05 16:54:45.818965+00,social-media-content-calendar,,,,,,,0
b15529ea-02f9-4439-824f-aca47814781e,course,Content Marketing Masterclass,Create content that drives traffic and converts to sales.,university,"{content,marketing,traffic}",https://entrepedia-products.com/app/book-cover-templates/Cover-12.jpeg,,,"{""level"": ""intermediate"", ""lessons"": 18, ""modules"": [""Strategy"", ""SEO Writing"", ""Video Content"", ""Distribution""], ""duration"": ""7 hours""}",f,2026-03-05 16:54:45.818965+00,content-marketing-masterclass,,,,,,,0
e3b717fb-9d55-478e-a6a0-32d149d527e7,course,Pricing Psychology,Master pricing strategies that maximize your digital product revenue.,university,"{pricing,psychology,revenue}",https://entrepedia-products.com/app/book-cover-templates/Cover-13.jpeg,,,"{""level"": ""intermediate"", ""lessons"": 10, ""modules"": [""Anchoring"", ""Bundling"", ""Tiered Pricing"", ""Dynamic Pricing""], ""duration"": ""4 hours""}",f,2026-03-05 16:54:45.818965+00,pricing-psychology,,,,,,,0
a59486c6-fc7b-4379-8b82-cc6330afc381,course,Community Building for Creators,Build and monetize an engaged community around your brand.,university,"{community,engagement,monetization}",https://entrepedia-products.com/app/book-cover-templates/Cover-14.jpeg,,,"{""level"": ""beginner"", ""lessons"": 14, ""modules"": [""Platform Selection"", ""Engagement"", ""Monetization"", ""Scaling""], ""duration"": ""5 hours""}",f,2026-03-05 16:54:45.818965+00,community-building-for-creators,,,,,,,0
